Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
BB1,Mining,2015Q1,389,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q2,427,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q3,446,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q4,424,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q1,403,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q2,363,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q3,398,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q4,363,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q1,356,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q2,360,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q3,364,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2017Q4,394,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q1,375,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q2,360,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q3,341,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2018Q4,332,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q1,350,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q2,351,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q3,355,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2019Q4,357,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q1,339,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q2,271,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q3,309,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2020Q4,306,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q1,311,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q2,309,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q3,292,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2021Q4,315,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q1,5130,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q2,5423,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q3,5445,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2014Q4,5605,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q1,5594,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q2,5275,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q3,5198,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2015Q4,5168,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q1,5119,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q2,5086,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q3,4954,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2016Q4,4562,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q1,4823,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q2,5204,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q3,5106,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2017Q4,5313,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q1,4937,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q2,4974,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q3,5095,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2018Q4,5369,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q1,5540,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q2,5271,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q3,5347,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2019Q4,5303,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q1,5068,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q2,4940,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q3,5525,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2020Q4,5074,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q1,5401,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q2,5850,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q3,4560,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZGZ,Goods-producing industries,2021Q4,4437,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q1,2908,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q2,3042,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q3,3133,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2014Q4,3145,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q1,3063,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q2,3107,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q3,2971,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q4,2879,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q1,2960,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q2,2923,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q3,3003,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q4,2609,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q1,2952,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q2,2833,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q3,2741,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q4,2837,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q1,2676,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q2,2775,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q3,2938,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q4,2798,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q1,2975,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q2,2890,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q3,2897,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q4,2926,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q1,2670,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q2,2638,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q3,2654,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q4,2627,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q1,2673,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q2,2584,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q3,2336,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q4,2512,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q1,2030,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q2,2168,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q3,2075,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2014Q4,2162,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q1,2328,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q2,1941,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q3,2027,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2015Q4,1993,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q1,1956,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q2,1905,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q3,1741,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q4,1575,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q1,1593,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q2,2053,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q3,2111,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q4,2000,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q1,1932,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q2,1782,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q3,1836,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q4,2066,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q1,2217,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q2,1967,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q3,2176,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
